TransactionID,isFraud,TransactionAmt,ProductCD,card1,card2,addr1,P_emaildomain,id_01,id_02,DeviceType,DeviceInfo
3000000,0,933.813314904712,R,12755,486,106,gmail.com,-26.35268253809272,85800.62687965024,mobile,MacOS
3000001,0,2714.085727418007,H,10797,477,377,gmail.com,-94.83426428853588,40209.393266111205,desktop,MacOS
3000002,0,4365.999721023278,R,15607,248,436,yahoo.com,-95.07055072355836,20716.532862109638,desktop,Windows
3000003,0,3663.8021831837104,C,13867,572,309,yahoo.com,-61.37122948544548,43054.623951809765,desktop,MacOS
3000004,0,4034.7401278286334,C,8866,439,268,,-64.65268079392794,39169.69764767526,desktop,Windows
3000005,0,3297.32899988648,W,16449,532,429,,-68.43667846328478,91626.20394520364,mobile,Windows
3000006,0,3464.460056944084,S,11685,215,237,gmail.com,-50.898023733109,76431.50319856661,mobile,
3000007,0,4247.486301310943,R,6451,313,490,gmail.com,-67.92664176884287,51006.44001865663,desktop,Windows
3000008,0,1255.8433642073378,W,9548,568,480,yahoo.com,-80.77420815319081,98848.68610543554,mobile,Windows
3000009,0,2452.2305685792708,S,8186,545,405,gmail.com,-69.05304509113991,47062.475596316406,desktop,iOS Device
3000010,0,1113.8351146798152,R,7102,580,329,gmail.com,-2.5095727189765,6765.545251207248,desktop,MacOS
3000011,1,4938.463359903269,H,1619,471,407,yahoo.com,-58.88865830051514,26965.157859683502,desktop,Windows
3000012,0,4720.8561050362005,R,1882,393,260,gmail.com,-55.52872231416642,44170.977541711945,mobile,MacOS
3000013,0,206.73978872884445,C,4642,352,100,gmail.com,-42.345501004886,16533.35979046589,mobile,Windows
3000014,0,3530.8201108532853,C,2296,242,335,hotmail.com,-1.6659231585773426,94808.94750608024,mobile,
3000015,0,4626.989103904172,H,15122,349,287,,-75.8398723564237,76918.04088395953,mobile,iOS Device
3000016,0,911.0709721853945,W,3895,465,103,yahoo.com,-31.871788946756624,27560.43284234949,mobile,Windows
3000017,0,2844.046700457621,S,6366,535,231,hotmail.com,-28.40153064582759,59489.64881827367,desktop,MacOS
3000018,0,4578.286604964329,R,9711,562,317,,-39.26755832069341,72423.46655384763,desktop,
3000019,0,179.39043314313622,C,9199,401,359,,-91.1421660363356,94186.613961773,mobile,MacOS
3000020,0,3490.127133561731,W,11717,124,100,,-32.31277241724236,88281.89956836565,mobile,
3000021,0,1493.7715467890284,H,4423,376,170,hotmail.com,-93.59052889638244,52004.03038768315,mobile,iOS Device
3000022,0,4622.737014928886,C,11211,571,277,hotmail.com,-40.38573504501031,77690.60935950874,desktop,
3000023,0,4855.580643375185,H,13782,476,288,,-26.04188227782573,56652.33062893091,mobile,MacOS
3000024,0,4721.889780676035,R,13474,477,390,gmail.com,-78.90301093800495,55717.68511450847,desktop,MacOS
3000025,0,2376.3289411207443,S,4667,488,107,gmail.com,-15.837799245722591,12359.453875480998,desktop,Windows
3000026,0,4311.592828436674,C,9277,169,352,hotmail.com,-96.96461944669956,13487.628143599057,mobile,
3000027,0,4224.301498690002,C,13424,212,391,hotmail.com,-15.618713634169396,53423.82788722328,desktop,MacOS
3000028,0,1602.3113614838455,R,9155,462,343,hotmail.com,-53.967094935723495,27617.292952921653,desktop,Windows
3000029,0,4146.28821601188,W,4583,211,222,,-78.24120600683555,3082.6533435863944,mobile,iOS Device
3000030,0,194.66809723030815,S,16515,463,398,gmail.com,-86.6221855006032,72561.08118612101,desktop,MacOS
3000031,0,2985.386693625445,C,5009,402,382,hotmail.com,-4.6692832417627415,4216.173072326331,mobile,Windows
3000032,0,1157.744098065638,S,11410,570,131,hotmail.com,-92.73344124188432,59932.4072693014,desktop,MacOS
3000033,0,611.6287600286213,C,5967,551,433,yahoo.com,-80.09065800640744,54380.185618604126,mobile,
3000034,1,393.99647612975366,S,11695,190,476,,-65.2177652566954,96912.65436720265,mobile,Windows
3000035,0,3484.4809916319173,H,10135,117,245,yahoo.com,-37.97651510388796,48937.100795416525,desktop,
3000036,0,1705.97606920265,C,6722,248,255,gmail.com,-45.51989147239016,7296.542201401939,mobile,iOS Device
3000037,0,3626.58618992852,S,16514,575,115,yahoo.com,-87.4356507587686,55617.10881283971,desktop,
3000038,0,336.12814058672245,W,12128,326,454,yahoo.com,-71.02720162617854,84268.52089099404,desktop,Windows
3000039,0,1583.2987857747455,H,5444,313,146,yahoo.com,-76.1248228913976,99688.07914386256,mobile,MacOS
3000040,0,2702.0615489529328,H,8618,459,350,,-78.64571455096586,43603.97419521818,desktop,Windows
3000041,0,3955.708592546428,W,2196,250,286,gmail.com,-58.8855663520013,32709.57550717751,mobile,
3000042,0,1600.574989631029,S,13297,291,130,yahoo.com,-29.59685474083432,90758.67639824787,desktop,
3000043,0,3133.197968420676,R,3787,550,359,,-78.25470677827641,19932.97077853601,desktop,MacOS
3000044,0,4431.0289636985735,W,8927,139,116,gmail.com,-63.33211202970186,61927.46258825974,mobile,iOS Device
3000045,0,3083.1573090297,S,3176,341,138,hotmail.com,-60.90825731588377,41165.727993913824,desktop,Windows
3000046,0,1172.4677790206324,W,9792,237,403,yahoo.com,-2.354347056458977,5067.154130599973,desktop,MacOS
3000047,0,131.75989996712474,W,10171,444,138,gmail.com,-4.533364312093113,35381.55895626408,desktop,MacOS
3000048,0,4351.79338076564,C,3451,279,231,yahoo.com,-19.986241724792407,27257.623727764785,desktop,MacOS
3000049,0,116.13436014343182,S,1628,596,129,hotmail.com,-75.83410791808149,68923.0242404052,desktop,Windows
3000050,1,4374.761346694155,R,10821,299,257,gmail.com,-93.19626859083304,94930.25927149988,desktop,Windows
3000051,0,2649.396298795788,C,8778,302,377,,-68.30958622793753,27536.671550485135,desktop,Windows
3000052,0,4695.947815579352,W,4696,160,302,gmail.com,-73.32054505661691,81335.12797601649,desktop,iOS Device
3000053,0,3995.9283465105914,W,13972,291,165,,-49.40741998536061,6480.621876902543,mobile,MacOS
3000054,0,4989.691211561354,W,9307,104,207,gmail.com,-22.2272089932207,54273.9799939415,desktop,
3000055,0,1760.0519591040336,S,5956,477,367,,-14.167706112114203,7984.456307279564,desktop,
3000056,0,3838.269561766323,S,11195,336,321,hotmail.com,-15.51359145894915,93469.2661219333,mobile,MacOS
3000057,0,2015.6352589101184,C,2105,280,391,hotmail.com,-64.03244387769323,76868.77677518163,mobile,
